Wall time,Step,Value
1690822855.9193485,6103,2302.359130859375
1690823259.6486344,14338,-99.99996948242188
1690823322.8432317,15751,327.890869140625
1690823509.9054444,19242,-307.08770751953125
1690823773.235808,24191,82.77549743652344
1690823820.2450013,24944,1.2958048582077026
1690824149.6159568,31011,-99.99967193603516
1690825222.2155702,53150,893.1943359375
1690825272.0670044,53971,857.042724609375
1690825440.662663,57724,1246.5335693359375
1690826577.051889,82038,-100.00008392333984
1690826688.2602913,84504,170.08824157714844
1690827024.2358725,90527,107.7291030883789
1690827099.0826416,91848,-100.00009155273438
1690827244.0766845,94803,1491.270751953125
1690827357.2720022,97101,1164.443603515625
1690827952.3113575,108616,-99.99967193603516
1690828000.8636515,109616,1466.652099609375
1690828138.7620323,112371,-203.6470489501953
1690828681.418286,123305,0.05425664782524109
1690829027.7500553,129923,-99.99998474121094
1690830074.8158503,150408,-52.820247650146484
1690830082.3032882,150409,-99.99977111816406
1690830454.9411995,156877,512.4908447265625
1690830493.5422132,157615,-99.99966430664062
1690830765.685376,162773,-99.99980163574219
1690830836.3306053,164182,-1.6109133958816528
1690830843.7922513,164183,-99.99979400634766
1690831017.485286,167516,-99.99990844726562
1690832178.2707145,189828,817.5759887695312
1690832670.830543,199632,1455.4033203125
1690832959.6410282,205396,41.69158172607422
1690833080.0134127,207917,-119.2460708618164
1690833087.5006258,207918,-99.99980926513672
1690833703.30467,220276,-356.3951110839844
1690833933.964588,224524,-99.99980163574219
1690834087.600255,227329,0.36836662888526917
1690834112.58426,227551,-99.99980163574219
1690834164.791781,228462,-99.99966430664062
1690834202.6048417,229211,1.407763957977295
1690834408.3358474,232660,322.4231872558594
1690834592.7426953,235946,1293.4739990234375
1690835289.4841132,247985,-179.5939178466797
1690835426.086955,250549,-430.0066223144531
1690835533.770431,252208,-99.99980926513672
1690835897.4060032,258556,2.7688639163970947
1690835955.8371997,259437,-99.99977111816406
1690836134.1121583,263152,-85.37577819824219
1690836187.4001546,263909,-99.99991607666016
1690836229.903973,264697,-301.52117919921875
1690836444.0441742,268068,444.38531494140625
