Wall time,Step,Value
1690822855.9193485,6103,479.9843444824219
1690823259.6496344,14338,497.06048583984375
1690823322.844231,15751,536.3419189453125
1690823509.9054444,19242,496.42437744140625
1690823773.235808,24191,378.60479736328125
1690823820.2450013,24944,366.81658935546875
1690824149.6159568,31011,368.743408203125
1690825222.2155702,53150,333.80279541015625
1690825272.0670044,53971,341.2166442871094
1690825440.662663,57724,452.12213134765625
1690826577.051889,82038,619.3167114257812
1690826688.2612891,84504,692.6663818359375
1690827024.2358725,90527,673.9176635742188
1690827099.0826416,91848,636.4577026367188
1690827244.0766845,94803,577.1759033203125
1690827357.2720022,97101,585.8643188476562
1690827952.3113575,108616,502.2026672363281
1690828000.8636515,109616,499.804931640625
1690828138.7630324,112371,528.8895874023438
1690828681.418286,123305,428.1397705078125
1690829027.7500553,129923,516.6643676757812
1690830074.8158503,150408,569.3335571289062
1690830082.3032882,150409,568.35986328125
1690830454.9411995,156877,518.8113403320312
1690830493.5422132,157615,499.0406799316406
1690830765.685376,162773,494.5086975097656
1690830836.3306053,164182,489.4940185546875
1690830843.7922513,164183,473.9502258300781
1690831017.485286,167516,464.63427734375
1690832178.2707145,189828,553.2445068359375
1690832670.831543,199632,675.9539794921875
1690832959.6410282,205396,699.75830078125
1690833080.0134127,207917,694.380859375
1690833087.5006258,207918,689.89208984375
1690833703.30467,220276,640.8674926757812
1690833933.9655867,224524,638.2236328125
1690834087.600255,227329,640.5014038085938
1690834112.58426,227551,633.1852416992188
1690834164.791781,228462,611.0946044921875
1690834202.6048417,229211,603.9725341796875
1690834408.3358474,232660,528.407958984375
1690834592.7426953,235946,438.6036376953125
1690835289.485116,247985,243.4217529296875
1690835426.086955,250549,206.79981994628906
1690835533.770431,252208,169.48876953125
1690835897.4060032,258556,140.41854858398438
1690835955.8371997,259437,118.37215423583984
1690836134.1121583,263152,119.06195068359375
1690836187.4001546,263909,126.14883422851562
1690836229.9049711,264697,106.40655517578125
1690836444.0441742,268068,66.15343475341797
1690836474.2956426,268563,58.90917205810547
1690836561.265957,270152,70.8354721069336
1690836598.7899237,271014,68.37521362304688
1690836740.957285,273696,100.1698989868164
1690836848.076098,275518,129.2498016357422
1690836863.4304376,275891,118.2401351928711
1690837334.0382192,284576,137.86279296875
1690838604.6960952,308844,224.30636596679688
1690838642.785183,309345,224.2022247314453
1690839206.2908971,319976,241.35565185546875
1690839251.521373,320726,242.8582763671875
1690839508.9270475,325091,161.68341064453125
1690839658.9820366,327584,175.3961181640625
1690839676.3484774,327946,174.28677368164062
1690839760.6776588,329109,166.05755615234375
1690839785.397015,329536,163.53782653808594
1690839865.3748267,330683,165.16815185546875
1690840158.6064103,335530,152.91590881347656
1690840210.750038,336385,126.85055541992188
1690840384.3362417,340134,164.7161407470703
1690841234.1029236,356054,182.16038513183594
1690841279.537237,356910,180.89334106445312
1690841406.7055306,359408,233.83985900878906
1690841516.4326737,361587,289.52447509765625
1690841613.1410673,363544,314.3069763183594
1690841777.3654673,366768,290.3278503417969
1690841895.51708,369269,326.36529541015625
1690841976.5256083,370840,336.9517822265625
1690842858.3417768,386641,273.0941467285156
1690842956.2641075,388642,291.5201721191406
1690842973.4509456,389069,292.50994873046875
1690843300.6152327,395464,186.36253356933594
1690843550.119964,400803,214.17967224121094
1690843763.8689146,404902,179.8962860107422
1690844432.6082263,417843,291.152099609375
1690844747.7743375,424423,366.20599365234375
1690845072.7851388,430015,345.3177490234375
1690845168.0304134,431953,366.1287536621094
1690845275.5349247,433661,327.79595947265625
1690845659.0751417,440291,298.56243896484375
1690845704.3312516,440996,280.3307800292969
1690845882.420877,444281,232.80479431152344
1690845931.3932045,445073,197.9126739501953
1690845986.207254,446074,207.19241333007812
1690846000.6619685,446438,206.15980529785156
1690846793.5725155,460512,145.14051818847656
1690846914.2401857,462664,157.41610717773438
1690846936.7468035,463164,177.21592712402344
1690847291.298634,469434,180.0866241455078
1690847490.0171018,473168,201.48654174804688
1690847657.624869,476735,215.75946044921875
1690848155.6790323,485897,186.1040802001953
1690848357.3273895,489900,163.5770263671875
1690848495.2624736,492529,194.8758544921875
1690848599.361204,494321,201.84658813476562
1690849148.8540852,504778,162.42051696777344
1690849226.6811147,506279,202.5658721923828
1690849614.8537948,513032,187.36740112304688
1690849872.57962,517506,161.35960388183594
1690849899.9532924,518006,162.5164794921875
1690850156.7999969,522750,139.64801025390625
1690850220.8040118,523974,133.88853454589844
1690850499.7575798,528709,86.64266204833984
1690851147.3260632,540865,78.27340698242188
1690851272.570197,543166,89.8608169555664
1690851588.1833928,549397,125.20951080322266
1690851838.5306249,553840,128.4879608154297
1690851996.804799,556613,141.4737091064453
1690852093.6793158,558228,138.50961303710938
1690852124.2024703,558985,134.76329040527344
1690852176.924586,559872,128.65139770507812
1690852297.9878843,561706,133.8135986328125
1690852472.4975843,565580,186.40870666503906
1690852716.662566,569684,187.93133544921875
1690852757.0171597,570684,186.48622131347656
1690852819.795669,572184,181.00650024414062
1690852939.9420896,574197,139.3946075439453
1690852967.3919291,574697,144.73338317871094
1690853452.7830837,583688,125.07527160644531
1690853571.3536713,586022,172.30734252929688
1690853995.413222,594444,253.52517700195312
1690854335.4228384,600094,194.0723876953125
1690854625.786229,605335,225.0541229248047
1690854762.2442415,607552,240.3823699951172
1690854994.6499915,612086,282.50634765625
1690855034.3107798,612810,285.3341979980469
1690855165.0583236,614881,227.921142578125
1690855865.6524944,627965,192.2368621826172
1690856169.2539132,633800,255.67529296875
1690856322.2093718,636224,227.383056640625
1690856379.0212233,637193,225.84580993652344
1690856726.710462,643563,221.80882263183594
1690856968.4018352,647938,237.30703735351562
1690856998.8896675,648686,230.99710083007812
1690857304.7679713,654209,237.79296875
1690857370.226531,655390,222.0112762451172
1690857501.8194156,657476,207.12928771972656
1690857807.953019,663416,227.01243591308594
1690857894.5608304,664806,204.34317016601562
1690858299.119388,671943,243.92526245117188
1690858513.694226,676006,173.3399200439453
1690858551.8508832,676576,173.99525451660156
1690858572.4345088,677076,174.571533203125
1690858706.4073026,679568,177.63644409179688
